,Player,Pos,gameweek,pWAS,ww_pWAS,WAR
127,Darnell Furlong,D,1,-0.04196666666666667,-0.038483333333333335,-0.0034833333333333383
49,Ivan Cavaleiro,F,1,-0.09498333333333332,-0.08998333333333335,-0.004999999999999977
7,Mohamed Elneny,M,1,-0.010616666666666682,-0.005233333333333349,-0.005383333333333333
114,Che Adams,F,1,-0.09688333333333334,-0.08998333333333335,-0.0068999999999999895
113,Kyle Walker-Peters,D,1,-0.04914999999999999,-0.038483333333333335,-0.010666666666666658
112,Danny Ings,F,1,-0.10128333333333334,-0.08998333333333335,-0.01129999999999999
120,Toby Alderweireld,D,1,-0.05115000000000001,-0.038483333333333335,-0.012666666666666673
138,Tomas Soucek,M,1,-0.01893333333333334,-0.005233333333333349,-0.01369999999999999
128,Jake Livermore,M,1,-0.022366666666666684,-0.005233333333333349,-0.017133333333333334
101,Enda Stevens,D,1,-0.05748333333333333,-0.038483333333333335,-0.018999999999999996
102,Chris Basham,D,1,-0.05805000000000001,-0.038483333333333335,-0.019566666666666677
8,Granit Xhaka,M,1,-0.02679999999999999,-0.005233333333333349,-0.02156666666666664
103,Oliver Norwood,M,1,-0.02739999999999998,-0.005233333333333349,-0.02216666666666663
76,Wilfred Ndidi,M,1,-0.028383333333333316,-0.005233333333333349,-0.023149999999999966
139,Declan Rice,M,1,-0.029483333333333344,-0.005233333333333349,-0.024249999999999994
9,Ainsley Maitland-Niles,M,1,-0.030483333333333345,-0.005233333333333349,-0.025249999999999995
77,Nampalys Mendy,M,1,-0.03203333333333334,-0.005233333333333349,-0.026799999999999987
121,Matt Doherty,D,1,-0.06574999999999999,-0.038483333333333335,-0.027266666666666654
104,George Baldock,D,1,-0.06668333333333333,-0.038483333333333335,-0.028199999999999996
25,Marcos Alonso,D,1,-0.06705,-0.038483333333333335,-0.028566666666666664
27,Andreas Christensen,D,1,-0.07058333333333333,-0.038483333333333335,-0.0321
129,Grady Diangana,M,1,-0.037383333333333345,-0.005233333333333349,-0.03215
64,Stuart Dallas,M,1,-0.03751666666666666,-0.005233333333333349,-0.03228333333333332
115,Nathan Redmond,M,1,-0.0381,-0.005233333333333349,-0.032866666666666655
35,Cheikhou Kouyate,M,1,-0.038249999999999985,-0.005233333333333349,-0.03301666666666664
122,Eric Dier,D,1,-0.07228333333333332,-0.038483333333333335,-0.03379999999999999
50,Harrison Reed,M,1,-0.03996666666666665,-0.005233333333333349,-0.034733333333333304
26,Kai Havertz,M,1,-0.04023333333333332,-0.005233333333333349,-0.034999999999999976
140,Angelo Ogbonna,D,1,-0.07375,-0.038483333333333335,-0.03526666666666666
96,Allan Saint-Maximin,M,1,-0.04488333333333333,-0.005233333333333349,-0.039649999999999984
36,Jeffrey Schlupp,M,1,-0.04751666666666667,-0.005233333333333349,-0.042283333333333326
97,Isaac Hayden,M,1,-0.04924999999999998,-0.005233333333333349,-0.044016666666666635
37,James McCarthy,M,1,-0.050050000000000004,-0.005233333333333349,-0.04481666666666666
141,Pablo Fornals,M,1,-0.05123333333333333,-0.005233333333333349,-0.045999999999999985
65,Pablo Hernandez,M,1,-0.05243333333333331,-0.005233333333333349,-0.047199999999999964
85,Joseph Gomez,D,1,-0.08575,-0.038483333333333335,-0.04726666666666667
38,Jordan Ayew,F,1,-0.13931666666666667,-0.08998333333333335,-0.049333333333333326
51,Neeskens Kebano,M,1,-0.055500000000000015,-0.005233333333333349,-0.05026666666666667
78,Ayoze Perez,M,1,-0.05771666666666666,-0.005233333333333349,-0.05248333333333331
116,William Smallbone,M,1,-0.06006666666666668,-0.005233333333333349,-0.05483333333333333
142,Mark Noble,M,1,-0.06126666666666667,-0.005233333333333349,-0.056033333333333324
105,Billy Sharp,F,1,-0.147,-0.08998333333333335,-0.057016666666666646
130,Romaine Sawyers,M,1,-0.0625,-0.005233333333333349,-0.05726666666666665
48,Andre Gomes,M,1,-0.06311666666666667,-0.005233333333333349,-0.05788333333333332
86,Trent Alexander-Arnold,D,1,-0.09701666666666668,-0.038483333333333335,-0.05853333333333335
52,Josh Onomah,M,1,-0.06421666666666666,-0.005233333333333349,-0.05898333333333331
123,Lucas Moura,M,1,-0.06581666666666668,-0.005233333333333349,-0.06058333333333333
15,Neal Maupay,F,1,-0.15321666666666667,-0.08998333333333335,-0.06323333333333332
124,Harry Winks,M,1,-0.06853333333333332,-0.005233333333333349,-0.06329999999999997
16,Adam Webster,D,1,-0.10311666666666665,-0.038483333333333335,-0.06463333333333332
54,Aboubakar Kamara,F,1,-0.15626666666666666,-0.08998333333333335,-0.06628333333333332
131,Kyle Bartley,D,1,-0.10614999999999998,-0.038483333333333335,-0.06766666666666665
143,Jarrod Bowen,M,1,-0.07438333333333334,-0.005233333333333349,-0.06914999999999999
66,Robin Koch,D,1,-0.10776666666666666,-0.038483333333333335,-0.06928333333333334
132,Callum Robinson,F,1,-0.15985,-0.08998333333333335,-0.06986666666666665
53,Tom Cairney,M,1,-0.07551666666666668,-0.005233333333333349,-0.07028333333333332
28,Ruben Loftus-Cheek,M,1,-0.07565000000000001,-0.005233333333333349,-0.07041666666666666
67,Pascal Struijk,D,1,-0.10901666666666666,-0.038483333333333335,-0.07053333333333334
17,Ben White,D,1,-0.10928333333333334,-0.038483333333333335,-0.0708
87,Roberto Firmino,F,1,-0.16211666666666666,-0.08998333333333335,-0.07213333333333331
144,Issa Diop,D,1,-0.11281666666666666,-0.038483333333333335,-0.07433333333333333
55,Denis Odoi,D,1,-0.11478333333333333,-0.038483333333333335,-0.0763
18,Lewis Dunk,D,1,-0.11681666666666668,-0.038483333333333335,-0.07833333333333334
106,Jack O'Connell,D,1,-0.1194,-0.038483333333333335,-0.08091666666666666
56,Joe Bryan,D,1,-0.1206,-0.038483333333333335,-0.08211666666666667
125,Pierre-Emile Hojbjerg,M,1,-0.09143333333333332,-0.005233333333333349,-0.08619999999999997
145,Aaron Cresswell,D,1,-0.12495,-0.038483333333333335,-0.08646666666666666
68,Luke Ayling,D,1,-0.1274833333333333,-0.038483333333333335,-0.08899999999999997
107,John Egan,D,1,-0.1318,-0.038483333333333335,-0.09331666666666666
133,Dara O'Shea,D,1,-0.13593333333333332,-0.038483333333333335,-0.09744999999999998
57,Tim Ream,D,1,-0.14011666666666667,-0.038483333333333335,-0.10163333333333333
134,Kieran Gibbs,D,1,-0.1592,-0.038483333333333335,-0.12071666666666667
58,Michael Hector,D,1,-0.16248333333333334,-0.038483333333333335,-0.124
135,Semi Ajayi,D,1,-0.19978333333333334,-0.038483333333333335,-0.1613
0,Son Heung-Min,F,2,0.2864,-0.09125,0.37765
1,Harry Kane,F,2,0.2553,-0.09125,0.34655
2,Kevin De Bruyne,M,2,0.24281666666666665,-0.06176666666666667,0.3045833333333333
3,Dominic Calvert-Lewin,F,2,0.1739166666666667,-0.09125,0.26516666666666666
5,Wilfried Zaha,M,2,0.17816666666666667,-0.06176666666666667,0.23993333333333333
6,Ezri Konsa Ngoyo,D,2,0.20768333333333336,-0.02946666666666668,0.23715000000000003
8,Tyrone Mings,D,2,0.19956666666666667,-0.02946666666666668,0.22903333333333334
4,Neal Maupay,F,2,0.13394999999999999,-0.09125,0.22519999999999998
10,Harvey Barnes,M,2,0.1456166666666667,-0.06176666666666667,0.20738333333333336
7,Richarlison,F,2,0.10000000000000002,-0.09125,0.19125000000000003
9,Sadio Mane,F,2,0.09731666666666668,-0.09125,0.18856666666666666
11,Aleksandar Mitrovic,F,2,0.09181666666666666,-0.09125,0.18306666666666666
14,Andre-Frank Zambo Anguissa,M,2,0.11816666666666664,-0.06176666666666667,0.1799333333333333
12,Patrick Bamford,F,2,0.07578333333333331,-0.09125,0.1670333333333333
17,James Rodriguez,M,2,0.09791666666666665,-0.06176666666666667,0.15968333333333332
16,Mateusz Klich,M,2,0.09694999999999998,-0.06176666666666667,0.15871666666666664
13,Helder Costa,F,2,0.06645000000000001,-0.09125,0.1577
18,Matheus Pereira,M,2,0.09016666666666666,-0.06176666666666667,0.15193333333333334
19,Jeffrey Schlupp,M,2,0.08655000000000002,-0.06176666666666667,0.14831666666666668
23,Timothy Castagne,D,2,0.11321666666666667,-0.02946666666666668,0.14268333333333336
