,Player,Pos,season_WAR,avg_ww_pWAS,avg_pWAS,games_played
219,Marcus Rashford,F,0.6147666666666665,-0.041987500000000004,0.00924305555555555,12
354,Wilfried Zaha,M,0.61075,-0.039038888888888894,0.011856944444444443,12
322,Solly March,M,0.59515,-0.039433333333333334,0.00634743589743589,13
272,Pascal Gross,M,0.59255,-0.04556666666666667,0.053191666666666665,6
338,Timothy Castagne,D,0.5788166666666666,-0.031040476190476198,0.05164761904761904,7
52,Callum Wilson,F,0.5767,-0.047555555555555566,0.0005027777777777779,12
146,James Justin,D,0.5547666666666666,-0.03049642857142857,0.009129761904761901,14
147,James Maddison,M,0.5441,-0.03443958333333334,0.033572916666666675,8
26,Antonee Robinson,D,0.5392833333333333,-0.032707575757575755,0.01631818181818182,11
75,Danny Ings,F,0.5370000000000001,-0.05393518518518519,0.005731481481481476,9
78,Darnell Furlong,D,0.5230333333333335,-0.031035897435897433,0.0091974358974359,13
292,Riyad Mahrez,F,0.5176499999999999,-0.03464814814814815,0.022868518518518517,9
19,Andre-Frank Zambo Anguissa,M,0.5154666666666666,-0.04291388888888889,4.1666666666662654e-05,12
301,Ross Barkley,M,0.5144333333333333,-0.04037666666666667,0.06250999999999998,5
126,Harry Maguire,D,0.5069833333333335,-0.029882051282051285,0.009116666666666665,13
1,Aaron Cresswell,D,0.5057666666666666,-0.03049642857142857,0.0056297619047619065,14
352,Wesley Fofana,D,0.5046666666666666,-0.03363000000000001,0.01683666666666666,10
152,James Tarkowski,D,0.4991333333333333,-0.032707575757575755,0.012668181818181808,11
229,Matheus Pereira,M,0.49798333333333344,-0.03774583333333333,0.024502083333333348,8
122,Gylfi Sigurdsson,M,0.4954666666666666,-0.03735,0.04522777777777776,6
291,Richarlison,F,0.4793166666666667,-0.04716166666666667,0.000770000000000004,10
28,Anwar El Ghazi,M,0.46671666666666667,-0.023366666666666664,0.20999166666666666,2
155,Jan Bednarek,D,0.4655166666666668,-0.026693055555555557,0.012099999999999998,12
343,Tomas Soucek,M,0.4635333333333333,-0.038948809523809524,-0.005839285714285722,14
56,Che Adams,F,0.4562833333333332,-0.04465238095238096,-0.01206071428571429,14
123,Hakim Ziyech,M,0.45213333333333333,-0.04438333333333334,0.06865,4
29,Arthur Masuaku,D,0.44273333333333337,-0.03272592592592593,0.016466666666666668,9
234,Matthew Cash,D,0.43663333333333343,-0.030739393939393945,0.008954545454545455,11
230,Matt Doherty,D,0.4291666666666667,-0.02651666666666667,0.04501111111111111,6
319,Serge Aurier,D,0.4112166666666667,-0.033481250000000004,0.01792083333333333,8
233,Matt Targett,D,0.4102833333333334,-0.028537500000000004,0.005652777777777778,12
267,Ollie Watkins,F,0.39200000000000007,-0.041987500000000004,-0.009320833333333332,12
331,Tariq Lamptey,D,0.3890833333333333,-0.031598148148148146,0.011633333333333325,9
332,Theo Walcott,M,0.38874999999999993,-0.039651851851851855,0.003542592592592591,9
157,Jarrod Bowen,M,0.38780000000000003,-0.038948809523809524,-0.011248809523809524,14
258,Nelson Semedo,D,0.38168333333333354,-0.02991666666666667,0.0018902777777777848,12
264,Oliver McBurnie,F,0.3761833333333333,-0.04158809523809524,0.012152380952380953,7
295,Roberto Firmino,F,0.36840000000000006,-0.04549230769230769,-0.01715384615384616,13
203,Kyle Walker,D,0.36478333333333346,-0.030739393939393945,0.0024227272727272747,11
317,Sebastien Haller,F,0.36021666666666663,-0.03979523809523809,0.011664285714285709,7
337,Timo Werner,F,0.35658333333333336,-0.04465238095238096,-0.019182142857142852,14
37,Ben Mee,D,0.34451666666666675,-0.02842380952380953,0.02079285714285715,7
91,Eberechi Eze,M,0.3429166666666667,-0.0388925925925926,-0.00079074074074074,9
183,Jorginho,M,0.34211666666666674,-0.034416666666666665,0.022602777777777788,6
313,Scott McTominay,M,0.3419166666666667,-0.04460833333333333,-0.0018687499999999885,8
60,Christian Benteke,F,0.3312833333333333,-0.038111111111111116,0.07231666666666665,3
168,Joel Matip,D,0.32618333333333344,-0.04088666666666667,0.024350000000000017,5
176,John McGinn,M,0.32515000000000016,-0.0399875,-0.012891666666666668,12
161,Jeffrey Schlupp,M,0.3227833333333333,-0.0423537037037037,-0.006488888888888887,9
102,Ezri Konsa Ngoyo,D,0.3221166666666667,-0.02806833333333334,0.00414333333333333,10
299,Romain Saiss,D,0.31688333333333335,-0.027700000000000006,0.011910416666666665,8
341,Tom Cairney,M,0.3100833333333334,-0.037804166666666666,0.000956249999999997,8
8,Ademola Lookman,F,0.30908333333333327,-0.035425,-0.004516666666666671,10
128,Harvey Barnes,M,0.3071333333333334,-0.03650333333333334,-0.005789999999999994,10
298,Rodrigo Moreno,F,0.2963833333333334,-0.03598,0.023296666666666677,5
326,Stuart Armstrong,M,0.29248333333333343,-0.042271212121212126,-0.015681818181818182,11
43,Bertrand Traore,M,0.2756,-0.027466666666666667,0.0644,3
334,Thiago Silva,D,0.2735833333333334,-0.02545833333333334,0.001899999999999999,10
14,Alex Telles,D,0.26808333333333334,-0.02434583333333334,0.042674999999999984,4
358,Yerry Mina,D,0.26654999999999995,-0.03715138888888889,-0.014938888888888892,12
177,John Stones,D,0.26645,-0.03302000000000001,0.02027,5
241,Michail Antonio,M,0.2658833333333333,-0.04034,0.012836666666666663,5
206,Leandro Trossard,M,0.25744999999999996,-0.03777222222222223,-0.009166666666666663,9
129,Hector Bellerin,D,0.25671666666666676,-0.030431944444444445,-0.009038888888888881,12
321,Sergio Reguilon,D,0.25665000000000004,-0.036470370370370375,-0.007953703703703704,9
296,Robin Koch,D,0.24863333333333337,-0.02715833333333334,-0.0022950000000000028,10
55,Charlie Taylor,D,0.2453166666666667,-0.029882051282051285,-0.011011538461538465,13
287,Rayan Ait-Nouri,D,0.2385,-0.04615416666666666,0.01347083333333333,4
285,Raphinha,F,0.2382166666666667,-0.031502777777777775,0.008200000000000004,6
17,Allan Saint-Maximin,M,0.23736666666666667,-0.033171428571428574,0.0007380952380952321,7
150,James Milner,M,0.23681666666666673,-0.038408333333333336,0.08000000000000002,2
346,Trezeguet,M,0.23065000000000002,-0.04117291666666667,-0.012341666666666664,8
200,Kortney Hause,D,0.22458333333333338,-0.03088333333333333,0.08140833333333336,2
208,Liam Cooper,D,0.2207,-0.02902575757575758,-0.008962121212121215,11
80,David McGoldrick,F,0.21010000000000006,-0.04443809523809524,-0.014423809523809516,7
86,Diogo Jota,F,0.2060666666666666,-0.02417333333333333,0.017039999999999993,5
25,Anthony Martial,F,0.20491666666666664,-0.0447095238095238,-0.015435714285714284,7
131,Ilkay Gundogan,M,0.20398333333333332,-0.03579444444444445,-0.0017972222222222267,6
9,Ahmed El Mohamady,D,0.20395000000000002,-0.0043166666666666536,0.19963333333333336,1
246,Moussa Djenepo,M,0.19379999999999997,-0.045643333333333334,-0.006883333333333336,5
